City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
213,Tazmalt,DZ,79.83,clear sky,36.3868,4.3989,Hôtel Numédia
214,Sterling,US,76.15,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
215,Zhigansk,RU,78.85,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
216,Harrisonburg,US,74.03,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
218,Bandarbeyla,SO,76.64,broken clouds,9.4942,50.8122,JABIR HOTEL
219,Salinas,US,70.0,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
220,Araouane,ML,94.8,few clouds,18.9048,-3.5265,
221,Carutapera,BR,76.03,clear sky,-1.195,-46.02,Lidera
224,Aojiang,CN,91.89,few clouds,22.9421,116.0359,Binjiang Hotel
226,Gerash,IR,75.34,overcast clouds,27.6652,54.1371,Sa'adat House Gerash
228,Mangai,CD,74.26,overcast clouds,-4.05,19.5333,
231,San Jose,US,71.53,scattered clouds,37.3394,-121.895,The Westin San Jose
232,Dauriya,RU,75.83,scattered clouds,49.9333,116.8667,
233,La Ronge,CA,73.62,broken clouds,55.1001,-105.2842,Northland Motor Hotel
234,Axim,GH,75.49,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
235,Mangan,IN,82.0,broken clouds,27.5167,88.5333,Hotel Mout View
236,Tual,ID,78.31,broken clouds,-5.6667,132.75,Grand Vilia Hotel
237,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
238,Meadow Lake,US,72.39,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
240,Yatou,CN,83.39,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
242,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
243,Fukue,JP,88.16,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
249,Moussoro,TD,81.75,broken clouds,13.6408,16.4901,Hôtel Salama
250,Port Hardy,CA,71.78,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
252,Honiara,SB,85.75,overcast clouds,-9.4333,159.95,Heritage Park Hotel
253,Klaeng,TH,90.34,overcast clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
258,Tambun,ID,91.04,broken clouds,-6.2641,107.0712,Metland Hotel Bekasi
261,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
262,Murud,IN,81.37,overcast clouds,18.3258,72.965,On Point Plaza
263,Arraial Do Cabo,BR,70.61,few clouds,-22.9661,-42.0278,Pousada Porto Praia
264,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
265,Manono,CD,71.28,broken clouds,-7.3,27.4167,Hotel hewa bora
267,Ormara,PK,81.84,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
268,Stephenville,US,92.8,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
271,Nalut,LY,83.07,few clouds,30.3333,10.85,
272,Woodward,US,83.43,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
275,Nicoya,CR,75.27,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
276,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Hotel Gaudi
277,Lazaro Cardenas,MX,79.68,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
279,Nantucket,US,78.91,fog,41.2835,-70.0995,Jared Coffin House
280,Tomatlan,MX,75.47,overcast clouds,19.9333,-105.25,El Salvial
281,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
282,Komsomolskiy,UZ,90.32,broken clouds,40.4272,71.7189,Ikathouse
283,Sur,OM,81.43,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
284,Kokopo,PG,86.49,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
285,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
286,Westport,US,81.28,clear sky,41.1415,-73.3579,The Westport Inn
289,Tefe,BR,75.83,broken clouds,-3.3542,-64.7114,Aracati Hotel
293,Tarakan,ID,87.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
300,Manali,IN,86.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
301,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
303,Dicabisagan,PH,88.81,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
304,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
306,Xuanzhou,CN,87.35,overcast clouds,30.9525,118.7553,Nanfang Hotel
